STAGE,VERSION,MATERIAL,ORDER TYPE,MATERIAL DESCR.,PRO QUANITY,ORDER VALUE,COMPONENT,COMPONENT DESCR.,COST CENTER,MOVEMENT TYPE,COMPONENT QTY.,COMPONENT VALUE,REMARK
,,FGCPF98CM283KG,ZPKL,,,,,,,,"38,556.000","1,16,76,684.6",
,,FGCPF98CM283KG,,,,,,,,,"38,556.000","1,16,76,684.6",
FGCPF000000002,0001,FGCPF98LQ283KG,ZPKL,Chlorpyrifos Tech 98% 283.5 Kg MS LQ drm,"5,81,458.500","17,56,00,467.00",FGCPF000000002,Chloropyriphos 98,CPFTPU058L,,"5,53,162.500","16,75,25,263.13",
FGCPF000000002,0001,FGCPF98LQ283KG,ZPKL,Chlorpyrifos Tech 98% 283.5 Kg MS LQ drm,"5,81,458.500",0.00,FGCPF98LQ283KG,Chlorpyrifos Tech 98% 283.5 Kg MS LQ drm,CPFTPU058L,,"28,296.000","85,45,392",
,,FGCPF98LQ283KG,ZPKL,,,,,,,,"5,81,458.500","17,60,70,655.13",
,,FGCPF98LQ283KG,,,,,,,,,"5,81,458.500","17,60,70,655.13",
FGDFB000000001,0001,FGDFB0000050KG,ZPKL,DIFLUBENZURON TECHNICAL - 50 KG PKG,50.000,"1,00,550.00",FGDFB000000001,DFB,DFBZ150L,,1.000,"2,011",
FGDFB000000001,0001,FGDFB0000050KG,ZPKL,DIFLUBENZURON TECHNICAL - 50 KG PKG,50.000,0.00,FGDFB0000050KG,DIFLUBENZURON TECHNICAL - 50 KG PKG,DFBZ150L,,49.000,"98,539",
,,FGDFB0000050KG,ZPKL,,,,,,,,50.000,"1,00,550",
,,FGDFB0000050KG,,,,,,,,,50.000,"1,00,550",
FGDMADMB48A001,0001,FGDMADMB48A001,ZPI2,DICAMBA DIMETHYL AMINE  48% AS ---UNPACK,2.000,728.00,00750169,DMA 40 soln,DCDM48111L,,0.494,33.86,
FGDMADMB48A001,0001,FGDMADMB48A001,ZPI2,DICAMBA DIMETHYL AMINE  48% AS ---UNPACK,2.000,0.00,FGDMB000000001,Dicamba Technical,DCDM48111L,,1.000,460.34,
,,FGDMADMB48A001,ZPI2,,,,,,,,1.494,494.2,
,,FGDMADMB48A001,,,,,,,,,1.494,494.2,
FGDMB000000001,0001,FGDMB000000001,ZPI2,Dicamba Technical,"6,35,000.000","29,23,15,900.00",00750085,CAUSTIC SODA LYE,DICAMB091L,,"1,28,678.000","76,77,817.39",
FGDMB000000001,0001,FGDMB000000001,ZPI2,Dicamba Technical,"6,35,000.000",0.00,00750309,HCl - GRADE-C,DICAMB091L,,"92,000.000","1,84,487.26",
FGDMB000000001,0001,FGDMB000000001,ZPI2,Dicamba Technical,"6,35,000.000",0.00,00750560,O. XYLENE,DICAMB091L,,"6,350.000","4,32,482.86",
FGDMB000000001,0001,FGDMB000000001,ZPI2,Dicamba Technical,"6,35,000.000",0.00,00750790,SULPHURIC ACID,DICAMB091L,,"4,799.000","75,244.97",
FGDMB000000001,0001,FGDMB000000001,ZPI2,Dicamba Technical,"6,35,000.000",0.00,BPDCP000000001,Dichlorophenol Coupling Product,DICAMB091L,,"-31,156.000",0,
FGDMB000000001,0001,FGDMB000000001,ZPI2,Dicamba Technical,"6,35,000.000",0.00,BPKCL0000000GB,Potassium Chloride        ( Low Purity),DICAMB091L,,"-5,39,750.000","-48,577.5",
FGDMB000000001,0001,FGDMB000000001,ZPI2,Dicamba Technical,"6,35,000.000",0.00,BPSPENTSACID01,Spent Sulphuic Acid 70 %,DICAMB091L,,"-6,94,055.000",0,
FGDMB000000001,0001,FGDMB000000001,ZPI2,Dicamba Technical,"6,35,000.000",0.00,EFDMB000000001,Dicamba Aqu Layer ( Hydro),DICAMB091L,,"-22,32,406.000",0,
FGDMB000000001,0001,FGDMB000000001,ZPI2,Dicamba Technical,"6,35,000.000",0.00,EFDMB000000004,A/L after MeOH rec ( Hydro),DICAMB091L,,"-5,95,312.500",0,
FGDMB000000001,0001,FGDMB000000001,ZPI2,Dicamba Technical,"6,35,000.000",0.00,IMMEES00000004,Methyl Ester.,DICAMB091L,,"7,02,230.000","14,37,31,121.07",
FGDMB000000001,0001,FGDMB000000001,ZPI2,Dicamba Technical,"6,35,000.000",0.00,RESDMB00000001,DMB Methyl Ester Residue,DICAMB091L,,"-8,255.000",0,
FGDMB000000001,0001,FGDMB000000001,ZPI2,Dicamba Technical,"6,35,000.000",0.00,RESXYL00000001,Residue of Xylene distillation,DICAMB091L,,"-8,255.000",0,
,,FGDMB000000001,ZPI2,,,,,,,,"-31,75,132.500","15,20,52,576.05",
,,FGDMB000000001,,,,,,,,,"-31,75,132.500","15,20,52,576.05",
FGDMB000000001,0001,FGDMB0JB0750KG,ZPKL,DICAMBA TECHNICAL PACKED IN 750 KGS. BAG,"75,000.000","3,45,25,500.00",FGDMB000000001,Dicamba Technical,DICAMB091L,,"75,000.000","3,45,25,500",
,,FGDMB0JB0750KG,ZPKL,,,,,,,,"75,000.000","3,45,25,500",
,,FGDMB0JB0750KG,,,,,,,,,"75,000.000","3,45,25,500",
FGDMB000000001,0001,FGDMB0JB0800KG,ZPKL,DICAMBA TECHNICAL PACKED IN 800 KGS. BAG,"4,96,000.000","22,83,28,640.00",FGDMB000000001,Dicamba Technical,DICAMB091L,,"4,96,000.000","22,83,28,640",
,,FGDMB0JB0800KG,ZPKL,,,,,,,,"4,96,000.000","22,83,28,640",
,,FGDMB0JB0800KG,,,,,,,,,"4,96,000.000","22,83,28,640",
FGDMB480S500ML,0001,FGDMB480S500ML,ZPKL,DICAMBA DIMETHYL AMINE  48% AS ---500 ML,2.000,728.00,FGDMADMB48A001,DICAMBA DIMETHYL AMINE  48% AS ---UNPACK,DCDM48111L,,2.000,728,
,,FGDMB480S500ML,ZPKL,,,,,,,,2.000,728,
,,FGDMB480S500ML,,,,,,,,,2.000,728,
FGDMBNA77SG0L1,0001,FGDMBNA77SG500KG,ZPKL,Dicamba Sodium 77% SG -500 KG PKG,"74,000.000","3,78,84,300.00",00770030,Dicamba Sodium 77% SG -LOOSE PKG,DIC77S113L,,"24,000.000","1,53,60,000",
FGDMBNA77SG0L1,0001,FGDMBNA77SG500KG,ZPKL,Dicamba Sodium 77% SG -500 KG PKG,"74,000.000",0.00,FGDMBNA77SG500KG,Dicamba Sodium 77% SG -500 KG PKG,DIC77S113L,,"50,000.000","2,55,97,500",
,,FGDMBNA77SG500KG,ZPKL,,,,,,,,"74,000.000","4,09,57,500",
,,FGDMBNA77SG500KG,,,,,,,,,"74,000.000","4,09,57,500",
FGDMN000000001,0001,FGDMN000000001,ZPI2,Deltamethrin,"22,374.000","5,52,86,154.00",00700340,ISO PROPYL ALCOHOL,DMNTEC076L,,"3,614.000","3,90,792.21",
FGDMN000000001,0001,FGDMN000000001,ZPI2,Deltamethrin,"22,374.000",0.00,00700830,TRI ETHYL AMINE -GRADE A-,DMNTEC076L,,"1,297.000","3,00,811.92",
FGDMN000000001,0001,FGDMN000000001,ZPI2,Deltamethrin,"22,374.000",0.00,00750790,SULPHURIC ACID,DMNTEC076L,,649.000,"9,848.65",
FGDMN000000001,0001,FGDMN000000001,ZPI2,Deltamethrin,"22,374.000",0.00,BPBISULPHITE01,SODIUM BISULPHITE SOLUTION,DMNTEC076L,,"-11,857.000",0,
FGDMN000000001,0001,FGDMN000000001,ZPI2,Deltamethrin,"22,374.000",0.00,BPHCL000000001,SPENT HCL,DMNTEC076L,,"-36,021.000",0,
FGDMN000000001,0001,FGDMN000000001,ZPI2,Deltamethrin,"22,374.000",0.00,IMDMN000000005,Deltamethrin Crude,DMNTEC076L,,"25,712.000","5,50,06,567.62",
,,FGDMN000000001,ZPI2,,,,,,,,"-16,606.000","5,57,08,020.4",
,,FGDMN000000001,,,,,,,,,"-16,606.000","5,57,08,020.4",
FGDMN12ULV0001,0001,FGDMN12ULV0001,ZPI2,Deltamethrin 1.25 EC % ULV,"5,302.000","5,86,295.16",00700415,LIQUID PARAFIN OIL H,DL125U049L,,"2,557.000","2,61,804.24",
FGDMN12ULV0001,0001,FGDMN12ULV0001,ZPI2,Deltamethrin 1.25 EC % ULV,"5,302.000",0.00,00750770,SOLVENT C-9,DL125U049L,,"2,396.000","1,48,751.63",
FGDMN12ULV0001,0001,FGDMN12ULV0001,ZPI2,Deltamethrin 1.25 EC % ULV,"5,302.000",0.00,FGDMN9800025KG,Deltamethrin Tech 25 Kg Drums,DL125U049L,,61.000,"1,50,731",
,,FGDMN12ULV0001,ZPI2,,,,,,,,"5,014.000","5,61,286.87",
,,FGDMN12ULV0001,,,,,,,,,"5,014.000","5,61,286.87",
FGDMN000000001,0001,FGDMN9800025KG,ZPKL,Deltamethrin Tech 25 Kg Drums,"18,500.000","4,57,13,500.00",FGDMN000000001,Deltamethrin,DMNTEC076L,,"17,500.000","4,32,42,500",
FGDMN000000001,0001,FGDMN9800025KG,ZPKL,Deltamethrin Tech 25 Kg Drums,"18,500.000",0.00,FGDMN9800025KG,Deltamethrin Tech 25 Kg Drums,DMNTEC076L,,"1,000.000","24,71,000",
,,FGDMN9800025KG,ZPKL,,,,,,,,"18,500.000","4,57,13,500",
,,FGDMN9800025KG,,,,,,,,,"18,500.000","4,57,13,500",
FGFIP05SC00001,0001,FGFIP05SC00001,ZPI2,Fipronil 5%SC Unpacked,"11,219.000","28,60,845.00",00700094,SUNFLOWER OIL (REF.),FIPR05034L,,562.000,"92,083.38",
FGFIP05SC00001,0001,FGFIP05SC00001,ZPI2,Fipronil 5%SC Unpacked,"11,219.000",0.00,00700102,BHT,FIPR05034L,,45.000,"10,291.67",
FGFIP05SC00001,0001,FGFIP05SC00001,ZPI2,Fipronil 5%SC Unpacked,"11,219.000",0.00,00700201,DI ETHYLENE GLYCOL,FIPR05034L,,174.000,"13,765.36",
FGFIP05SC00001,0001,FGFIP05SC00001,ZPI2,Fipronil 5%SC Unpacked,"11,219.000",0.00,00700701,XANTHAN GUM,FIPR05034L,,35.000,"8,090.3",
FGFIP05SC00001,0001,FGFIP05SC00001,ZPI2,Fipronil 5%SC Unpacked,"11,219.000",0.00,00701014,PROXEL GXL,FIPR05034L,,225.000,"1,32,445.91",
FGFIP05SC00001,0001,FGFIP05SC00001,ZPI2,Fipronil 5%SC Unpacked,"11,219.000",0.00,00730183,Defoamer AFE0050,FIPR05034L,,22.000,"11,331.64",
FGFIP05SC00001,0001,FGFIP05SC00001,ZPI2,Fipronil 5%SC Unpacked,"11,219.000",0.00,00730772,UNITOP-203,FIPR05034L,,439.000,"1,12,965.63",
FGFIP05SC00001,0001,FGFIP05SC00001,ZPI2,Fipronil 5%SC Unpacked,"11,219.000",0.00,00730773,NEOSURF-FL,FIPR05034L,,439.000,"78,947.72",
FGFIP05SC00001,0001,FGFIP05SC00001,ZPI2,Fipronil 5%SC Unpacked,"11,219.000",0.00,FGFIP0000050KG,FIPRONIL TECHNICAL  92% - 50KG-PKG,FIPR05034L,,620.000,"19,87,100",
FGFIP05SC00001,0001,FGFIP05SC00001,ZPI2,Fipronil 5%SC Unpacked,"11,219.000",0.00,FGFIP20SC00001,Fipronil 20%SC  - UNPACKED,FIPR05034L,,148.000,"1,05,080",
,,FGFIP05SC00001,ZPI2,,,,,,,,"2,709.000","25,52,101.61",
,,FGFIP05SC00001,,,,,,,,,"2,709.000","25,52,101.61",
FGFIP05SC00001,0001,FGFIP05SC0200L,ZPKL,Fipronil 5% SC 200 LTR,"10,800.000","27,54,000.00",FGFIP05SC00001,Fipronil 5%SC Unpacked,FIPR05034L,,"10,800.000","27,54,000",
,,FGFIP05SC0200L,ZPKL,,,,,,,,"10,800.000","27,54,000",
,,FGFIP05SC0200L,,,,,,,,,"10,800.000","27,54,000",
FGFIPRO9700010,0001,FGFIP0970500KG,ZPKL,FIPRONIL TECHNICAL  97%  -500,"99,000.000","33,40,26,000.00",FGFIP0970500KG,FIPRONIL TECHNICAL  97%  -500,FIPR97030L,,500.000,"16,87,000",
FGFIPRO9700010,0001,FGFIP0970500KG,ZPKL,FIPRONIL TECHNICAL  97%  -500,"99,000.000",0.00,FGFIP9700000L1,Fipronil tech 97%  - loose  pkg,FIPR97030L,,"54,000.000","18,64,08,000",
FGFIPRO9700010,0001,FGFIP0970500KG,ZPKL,FIPRONIL TECHNICAL  97%  -500,"99,000.000",0.00,FGFIPRO9700010,FIPRONIL 97%,FIPR97030L,,"44,500.000","15,01,43,000",
,,FGFIP0970500KG,ZPKL,,,,,,,,"99,000.000","33,82,38,000",
,,FGFIP0970500KG,,,,,,,,,"99,000.000","33,82,38,000",
FGFIP9700000L1,0001,FGFIP9700000L1,ZPI2,Fipronil tech 97%  - loose  pkg,"56,050.000","19,34,84,600.00",FGFIP0000050KG,FIPRONIL TECHNICAL  92% - 50KG-PKG,FIPR97030L,,"48,050.000","15,40,00,250",
FGFIP9700000L1,0001,FGFIP9700000L1,ZPI2,Fipronil tech 97%  - loose  pkg,"56,050.000",0.00,FGFIPRO09225KG,Fipronil Technical 92 % 25 KG,FIPR97030L,,50.000,"1,60,250",
FGFIP9700000L1,0001,FGFIP9700000L1,ZPI2,Fipronil tech 97%  - loose  pkg,"56,050.000",0.00,FGFIPRO9200009,Fipronil Technical 92%,FIPR97030L,,"7,950.000","2,54,79,750",
,,FGFIP9700000L1,ZPI2,,,,,,,,"56,050.000","17,96,40,250",
,,FGFIP9700000L1,,,,,,,,,"56,050.000","17,96,40,250",
FGFIPRO9700010,0001,FGFIPRO09725KG,ZPKL,Fipronil Technical 97 % 25 KG,"1,650.000","55,67,100.00",FGFIP9700000L1,Fipronil tech 97%  - loose  pkg,FIPR97030L,,50.000,"1,72,600",
FGFIPRO9700010,0001,FGFIPRO09725KG,ZPKL,Fipronil Technical 97 % 25 KG,"1,650.000",0.00,FGFIPRO9700010,FIPRONIL 97%,FIPR97030L,,"1,600.000","53,98,400",
,,FGFIPRO09725KG,ZPKL,,,,,,,,"1,650.000","55,71,000",
,,FGFIPRO09725KG,,,,,,,,,"1,650.000","55,71,000",
FGFIPRO9700010,0001,FGFIPRO09750KG,ZPKL,FIPRONIL TECHNICAL  97% - 50KG -PKG,"2,000.000","35,22,780.00",FGFIP9700000L1,Fipronil tech 97%  - loose  pkg,FIPR97030L,,"2,000.000","69,04,000",
,,FGFIPRO09750KG,ZPKL,,,,,,,,"2,000.000","69,04,000",
,,FGFIPRO09750KG,,,,,,,,,"2,000.000","69,04,000",
FGFIPRO9200009,0001,FGFIPRO9200009,ZPI2,Fipronil Technical 92%,"1,00,417.000","32,18,36,485.00",00700000,AMINO PYRAZOLE,FIPRON030L,,"92,000.000","21,90,75,736.23",
FGFIPRO9200009,0001,FGFIPRO9200009,ZPI2,Fipronil Technical 92%,"1,00,417.000",0.00,00700047,BORIC ACID,FIPRON030L,,555.000,"56,446.59",
FGFIPRO9200009,0001,FGFIPRO9200009,ZPI2,Fipronil Technical 92%,"1,00,417.000",0.00,00700095,CALCIUM CHLORIDE,FIPRON030L,,"26,437.000","5,94,505.41",
FGFIPRO9200009,0001,FGFIPRO9200009,ZPI2,Fipronil Technical 92%,"1,00,417.000",0.00,00700156,DEA.HCL,FIPRON030L,,"19,897.000","33,51,517.23",
FGFIPRO9200009,0001,FGFIPRO9200009,ZPI2,Fipronil Technical 92%,"1,00,417.000",0.00,00700180,DI ETHYL AMINE,FIPRON030L,,"1,815.000","2,71,036.05",
FGFIPRO9200009,0001,FGFIPRO9200009,ZPI2,Fipronil Technical 92%,"1,00,417.000",0.00,00700200,DICHLOROETHANE -DCE,FIPRON030L,,"66,856.000","41,84,700.05",
FGFIPRO9200009,0001,FGFIPRO9200009,ZPI2,Fipronil Technical 92%,"1,00,417.000",0.00,00700315,HYFLO SUPER CEL,FIPRON030L,,96.500,"4,531.2",
FGFIPRO9200009,0001,FGFIPRO9200009,ZPI2,Fipronil Technical 92%,"1,00,417.000",0.00,00700609,PHOSPHORUS OXYCHLORIDE,FIPRON030L,,"13,104.000","43,13,784.75",
FGFIPRO9200009,0001,FGFIPRO9200009,ZPI2,Fipronil Technical 92%,"1,00,417.000",0.00,00700616,FLOCSURE IXX -POLYEL,FIPRON030L,,0.061,20.47,
FGFIPRO9200009,0001,FGFIPRO9200009,ZPI2,Fipronil Technical 92%,"1,00,417.000",0.00,00700825,TOLUENE,FIPRON030L,,423.000,"21,170.08",
FGFIPRO9200009,0001,FGFIPRO9200009,ZPI2,Fipronil Technical 92%,"1,00,417.000",0.00,00750085,CAUSTIC SODA LYE,FIPRON030L,,"45,111.000","26,68,493.94",
FGFIPRO9200009,0001,FGFIPRO9200009,ZPI2,Fipronil Technical 92%,"1,00,417.000",0.00,00750309,HCl - GRADE-C,FIPRON030L,,"49,127.000","95,930.91",
FGFIPRO9200009,0001,FGFIPRO9200009,ZPI2,Fipronil Technical 92%,"1,00,417.000",0.00,BPBISULPHITE01,SODIUM BISULPHITE SOLUTION,FIPRON030L,,"2,200.000",0,
FGFIPRO9200009,0001,FGFIPRO9200009,ZPI2,Fipronil Technical 92%,"1,00,417.000",0.00,BPHCL000000001,SPENT HCL,FIPRON030L,,"-3,78,957.000",0,
FGFIPRO9200009,0001,FGFIPRO9200009,ZPI2,Fipronil Technical 92%,"1,00,417.000",0.00,BPKCL0000000GC,Potassium Chloride,FIPRON030L,,"-1,16,352.000","-1,163.52",
FGFIPRO9200009,0001,FGFIPRO9200009,ZPI2,Fipronil Technical 92%,"1,00,417.000",0.00,BPLQAMONIA0001,Ammonia solution,FIPRON030L,,"-1,28,245.000",0,
FGFIPRO9200009,0001,FGFIPRO9200009,ZPI2,Fipronil Technical 92%,"1,00,417.000",0.00,BPSPENTSACID01,Spent Sulphuic Acid 70 %,FIPRON030L,,"-1,53,669.000",0,
FGFIPRO9200009,0001,FGFIPRO9200009,ZPI2,Fipronil Technical 92%,"1,00,417.000",0.00,EFFIPRO0000001,Fipronil work up aq. ( Hydraulic Load),FIPRON030L,,"-2,71,125.000",0,
FGFIPRO9200009,0001,FGFIPRO9200009,ZPI2,Fipronil Technical 92%,"1,00,417.000",0.00,IMCF3SOCL00013,CF3 SOCl,FIPRON030L,,"50,231.000","4,18,05,497.06",
,,FGFIPRO9200009,ZPI2,,,,,,,,"-6,80,495.439","27,64,42,206.45",
,,FGFIPRO9200009,,,,,,,,,"-6,80,495.439","27,64,42,206.45",
FGFIPRO9700010,0001,FGFIPRO9700010,ZPI2,FIPRONIL 97%,"57,783.000","19,49,59,842.00",00700200,DICHLOROETHANE -DCE,FIPR97030L,,"54,619.000","34,22,746.32",
FGFIPRO9700010,0001,FGFIPRO9700010,ZPI2,FIPRONIL 97%,"57,783.000",0.00,00700315,HYFLO SUPER CEL,FIPR97030L,,40.000,"1,878.21",
FGFIPRO9700010,0001,FGFIPRO9700010,ZPI2,FIPRONIL 97%,"57,783.000",0.00,FGFIP0000050KG,FIPRONIL TECHNICAL  92% - 50KG-PKG,FIPR97030L,,"3,900.000","1,24,99,500",
FGFIPRO9700010,0001,FGFIPRO9700010,ZPI2,FIPRONIL 97%,"57,783.000",0.00,FGFIPRO9200009,Fipronil Technical 92%,FIPR97030L,,"56,955.000","18,25,40,775",
,,FGFIPRO9700010,ZPI2,,,,,,,,"1,15,514.000","19,84,64,899.53",
,,FGFIPRO9700010,,,,,,,,,"1,15,514.000","19,84,64,899.53",
FGIDC14SC00001,1,FGID145SC250ML,ZPKL,INDOXACARB 14.5 per SC 250 ML PKG,"2,000.000","21,95,940.00",FGIDC14SC00001,Indoxa carb 14.5% SC unpacked,IDC14S110L,,"2,012.000","20,66,324",
,,FGID145SC250ML,ZPKL,,,,,,,,"2,012.000","20,66,324",
,,FGID145SC250ML,,,,,,,,,"2,012.000","20,66,324",
FGIDC000000001,0002,FGIDC0000000L1,ZPI2,Indoxacarb Technical loose,2.000,"7,716.00",FGIDC000000001,Indoxacarb Technical,IDCSIL109L,,2.000,"7,716",
,,FGIDC0000000L1,ZPI2,,,,,,,,2.000,"7,716",
,,FGIDC0000000L1,,,,,,,,,2.000,"7,716",
FGIDC14SC00001,0001,FGIDC14SC00001,ZPI2,Indoxa carb 14.5% SC unpacked,"12,067.000","1,23,92,809.00",00700136,ATLAS G-1821,IDC14S110L,,38.000,"44,985.74",
FGIDC14SC00001,0001,FGIDC14SC00001,ZPI2,Indoxa carb 14.5% SC unpacked,"12,067.000",0.00,00700137,IC-1,IDC14S110L,,584.000,"2,41,615.56",
FGIDC14SC00001,0001,FGIDC14SC00001,ZPI2,Indoxa carb 14.5% SC unpacked,"12,067.000",0.00,00700138,IC-2,IDC14S110L,,914.000,"4,29,702.44",
FGIDC14SC00001,0001,FGIDC14SC00001,ZPI2,Indoxa carb 14.5% SC unpacked,"12,067.000",0.00,00700201,DI ETHYLENE GLYCOL,IDC14S110L,,828.000,"65,504.14",
FGIDC14SC00001,0001,FGIDC14SC00001,ZPI2,Indoxa carb 14.5% SC unpacked,"12,067.000",0.00,00700486,METHYL SOYATE,IDC14S110L,,"6,670.000","11,92,365.2",
FGIDC14SC00001,0001,FGIDC14SC00001,ZPI2,Indoxa carb 14.5% SC unpacked,"12,067.000",0.00,FGINDBAG0040KG,Indoxacarb Technical 40 kg BAG Pack.,IDC14S110L,,"3,680.000","1,41,97,440",
,,FGIDC14SC00001,ZPI2,,,,,,,,"12,714.000","1,61,71,613.08",
,,FGIDC14SC00001,,,,,,,,,"12,714.000","1,61,71,613.08",
FGIDC14SC00001,0001,FGIDC15SC0001L,ZPKL,INDOXACARB 15% SC - 1000 ML PKG,500.000,"5,13,500.00",FGIDC14SC00001,Indoxa carb 14.5% SC unpacked,IDC14S110L,,500.000,"5,13,500",
,,FGIDC15SC0001L,ZPKL,,,,,,,,500.000,"5,13,500",
,,FGIDC15SC0001L,,,,,,,,,500.000,"5,13,500",
FGIDC15SC0020L,0001,FGIDC15SC0020L,ZPKL,INDOXACARB 15 % SC - 20 LITR PKG,"16,000.000","1,63,41,600.00",FGIDC14SC00001,Indoxa carb 14.5% SC unpacked,IDC14S110L,,"16,065.000","1,64,98,755",
,,FGIDC15SC0020L,ZPKL,,,,,,,,"16,065.000","1,64,98,755",
,,FGIDC15SC0020L,,,,,,,,,"16,065.000","1,64,98,755",
FGIDC14SC00001,0001,FGIDC15SC250ML,ZPKL,INDOXACARB 15 % SC 250 ML PKG,752.000,"7,72,304.00",FGIDC14SC00001,Indoxa carb 14.5% SC unpacked,IDC14S110L,,765.000,"7,85,655",
,,FGIDC15SC250ML,ZPKL,,,,,,,,765.000,"7,85,655",
,,FGIDC15SC250ML,,,,,,,,,765.000,"7,85,655",
FGIDC20SC0020L,0001,FGIDC20SC0020L,ZPKL,INDOXACARB 20% SC (15%S+5%R) --20 LT,"7,000.000","70,98,000.00",FGIDC14SC00001,Indoxa carb 14.5% SC unpacked,IDC20S179L,,"7,025.000","72,14,675",
,,FGIDC20SC0020L,ZPKL,,,,,,,,"7,025.000","72,14,675",
,,FGIDC20SC0020L,,,,,,,,,"7,025.000","72,14,675",
FGIDCPURE00001,0002,FGIDC9600025KG,ZPKL,INDOXACARB TECH 96% 25Kg,850.000,"45,26,250.00",FGIDC9600025KG,INDOXACARB TECH 96% 25Kg,IDC96T175L,,850.000,"45,26,250",
,,FGIDC9600025KG,ZPKL,,,,,,,,850.000,"45,26,250",
,,FGIDC9600025KG,,,,,,,,,850.000,"45,26,250",
FGIDC000000001,0002,FGIND0000040KG,ZPKL,Indoxacarb Technical 40 kg pkg,"4,200.000","1,62,03,600.00",FGINDBAG0040KG,Indoxacarb Technical 40 kg BAG Pack.,IDCSIL109L,,"4,200.000","1,62,03,600",
,,FGIND0000040KG,ZPKL,,,,,,,,"4,200.000","1,62,03,600",
,,FGIND0000040KG,,,,,,,,,"4,200.000","1,62,03,600",
FGNADMB0000001,1,FGNADMB00040KG,ZPKL,Dicamba sodium salt 40 Kg pack,"29,400.000",294.00,IMNADMB0000001,NaDMB,DICSOD113L,,"29,400.000","1,63,96,674",
,,FGNADMB00040KG,ZPKL,,,,,,,,"29,400.000","1,63,96,674",
,,FGNADMB00040KG,,,,,,,,,"29,400.000","1,63,96,674",
FGNATCPOL00001,0001,FGNATCPOL00001,ZPKL,Sodium salt of trichloro pyradinol,"1,47,008.000","3,46,93,888.00",00700147,CUPROUS CHLORIDE,NATC061L,,"3,190.000","11,88,799.73",
FGNATCPOL00001,0001,FGNATCPOL00001,ZPKL,Sodium salt of trichloro pyradinol,"1,47,008.000",0.00,00700200,DICHLOROETHANE -DCE,NATC061L,,"14,701.000","9,19,408.7",
FGNATCPOL00001,0001,FGNATCPOL00001,ZPKL,Sodium salt of trichloro pyradinol,"1,47,008.000",0.00,00700802,TRI CHLORO ACETYL CH,NATC061L,,"1,58,651.000","2,06,09,322.21",
FGNATCPOL00001,0001,FGNATCPOL00001,ZPKL,Sodium salt of trichloro pyradinol,"1,47,008.000",0.00,00730250,NONYL PHENOL ETHYLEN,NATC061L,,32.000,"4,701.78",
FGNATCPOL00001,0001,FGNATCPOL00001,ZPKL,Sodium salt of trichloro pyradinol,"1,47,008.000",0.00,00750018,ACRYLONITRILE,NATC061L,,"56,145.000","1,10,70,478.53",
FGNATCPOL00001,0001,FGNATCPOL00001,ZPKL,Sodium salt of trichloro pyradinol,"1,47,008.000",0.00,00750085,CAUSTIC SODA LYE,NATC061L,,"1,28,560.000","78,21,879.31",
FGNATCPOL00001,0001,FGNATCPOL00001,ZPKL,Sodium salt of trichloro pyradinol,"1,47,008.000",0.00,00750790,SULPHURIC ACID,NATC061L,,"9,889.000","1,62,188.99",
FGNATCPOL00001,0001,FGNATCPOL00001,ZPKL,Sodium salt of trichloro pyradinol,"1,47,008.000",0.00,EFNATCPOL00001,Ejector Solution (Hydraulic Load),NATC061L,,-467.441,0,
FGNATCPOL00001,0001,FGNATCPOL00001,ZPKL,Sodium salt of trichloro pyradinol,"1,47,008.000",0.00,EFNATCPOL00004,Scrubber solution (Hydraulic Load).,NATC061L,,-31.416,0,
FGNATCPOL00001,0001,FGNATCPOL00001,ZPKL,Sodium salt of trichloro pyradinol,"1,47,008.000",0.00,EFNATCPOL00007,Emergency Scrubber solution (Hydraulic L,NATC061L,,-94.035,0,
FGNATCPOL00001,0001,FGNATCPOL00001,ZPKL,Sodium salt of trichloro pyradinol,"1,47,008.000",0.00,EFNATCPOL00010,NaTCPOL Filtrate (Hydraulic Load).,NATC061L,,"-12,582.375",0,
,,FGNATCPOL00001,ZPKL,,,,,,,,"3,57,992.733","4,17,76,779.25",
,,FGNATCPOL00001,,,,,,,,,"3,57,992.733","4,17,76,779.25",
FGNAV20EC00001,0001,FGNAV20EC00001,ZPI2,Navigator,"32,145.000","37,98,253.20",00730201,EPOXYLATED SOYA OIL,NAVIG057L,,310.000,"48,011.1",
FGNAV20EC00001,0001,FGNAV20EC00001,ZPI2,Navigator,"32,145.000",0.00,00730225,CABS 50 PER - CALCIUM SALT,NAVIG057L,,"1,310.000","2,35,793.83",
FGNAV20EC00001,0001,FGNAV20EC00001,ZPI2,Navigator,"32,145.000",0.00,00730460,SP 20,NAVIG057L,,"1,163.000","1,54,801.52",
FGNAV20EC00001,0001,FGNAV20EC00001,ZPI2,Navigator,"32,145.000",0.00,00750770,SOLVENT C-9,NAVIG057L,,"21,726.000","13,46,388.46",
FGNAV20EC00001,0001,FGNAV20EC00001,ZPI2,Navigator,"32,145.000",0.00,FGCPF98LQ283KG,Chlorpyrifos Tech 98% 283.5 Kg MS LQ drm,NAVIG057L,,"6,403.000","19,33,706",
,,FGNAV20EC00001,ZPI2,,,,,,,,"30,912.000","37,18,700.91",
,,FGNAV20EC00001,,,,,,,,,"30,912.000","37,18,700.91",
